order_id,customer_id,order_date,status,payment_method,shipping_method,order_channel,delivery_date
56,16,2024-05-21,Completed,Wallet,Standard,Mobile App,2024-05-22
57,237,2024-02-17,Returned,Wallet,Pickup,Website,2024-02-19
58,170,2024-07-27,Completed,Cash on Delivery,Pickup,Mobile App,2024-07-29
59,108,2024-12-31,Completed,Bank Transfer,Express,Mobile App,2025-01-06
60,126,2024-06-09,Completed,Cash on Delivery,Pickup,Mobile App,2024-06-12
61,194,2024-02-09,Completed,Cash on Delivery,Standard,Mobile App,2024-02-15
62,55,2024-05-31,Completed,Wallet,Express,Website,2024-06-04
63,227,2024-12-16,Returned,Cash on Delivery,Express,Mobile App,2024-12-17
64,170,2024-07-23,Completed,Bank Transfer,Standard,Mobile App,2024-07-26
65,34,2024-08-20,Completed,Cash on Delivery,Express,Website,2024-08-25
66,158,2024-12-20,Completed,Bank Transfer,Express,Mobile App,2024-12-24
67,247,2024-08-26,Cancelled,Bank Transfer,Express,Mobile App,2024-08-29
68,13,2024-02-20,Completed,Wallet,Express,Mobile App,2024-02-21
69,141,2024-10-06,Completed,Card,Standard,Mobile App,2024-10-08
70,18,2024-05-19,Cancelled,Card,Standard,Website,2024-05-24
71,160,2024-10-05,Cancelled,Wallet,Express,Mobile App,2024-10-11
72,96,2024-02-23,Cancelled,Cash on Delivery,Express,Website,2024-02-24
73,227,2024-01-23,Returned,Wallet,Standard,Mobile App,2024-01-27
74,123,2024-12-16,Completed,Bank Transfer,Standard,Mobile App,2024-12-20
75,39,2024-05-28,Completed,Card,Standard,Mobile App,2024-05-30
76,46,2024-12-09,Completed,Wallet,Express,Website,2024-12-11
77,244,2024-10-17,Cancelled,Cash on Delivery,Express,Mobile App,2024-10-22
78,29,2024-08-10,Completed,Wallet,Pickup,Mobile App,2024-08-16
79,190,2024-08-31,Completed,Card,Standard,Website,2024-09-05
80,241,2024-01-01,Completed,Wallet,Express,Website,2024-01-03
81,221,2024-01-19,Completed,Wallet,Standard,Website,2024-01-21
82,62,2024-05-09,Completed,Card,Express,Website,2024-05-13
83,245,2024-08-08,Returned,Bank Transfer,Standard,Mobile App,2024-08-10
84,236,2024-09-21,Returned,Bank Transfer,Express,Mobile App,2024-09-24
85,185,2024-01-17,Completed,Card,Pickup,Mobile App,2024-01-18
86,16,2024-08-30,Completed,Wallet,Pickup,Mobile App,2024-09-01
87,184,2024-02-10,Completed,Card,Standard,Website,2024-02-15
88,236,2024-09-11,Completed,Bank Transfer,Express,Mobile App,2024-09-17
89,239,2024-04-19,Cancelled,Cash on Delivery,Express,Mobile App,2024-04-25
90,121,2024-12-14,Completed,Wallet,Standard,Mobile App,2024-12-20
91,10,2024-08-22,Completed,Bank Transfer,Express,Mobile App,2024-08-25
92,158,2024-05-13,Cancelled,Wallet,Standard,Website,2024-05-18
93,153,2024-07-17,Completed,Card,Express,Mobile App,2024-07-20
94,103,2024-09-09,Completed,Cash on Delivery,Standard,Mobile App,2024-09-11
95,84,2024-08-25,Completed,Card,Express,Mobile App,2024-08-26
96,133,2024-08-17,Completed,Cash on Delivery,Standard,Website,2024-08-23
97,65,2024-06-02,Completed,Wallet,Express,Website,2024-06-07
98,222,2024-09-13,Completed,Wallet,Pickup,Mobile App,2024-09-19
99,177,2024-12-10,Completed,Card,Express,Mobile App,2024-12-13
100,3,2024-01-08,Cancelled,Cash on Delivery,Standard,Mobile App,2024-01-12
101,173,2024-06-12,Completed,Cash on Delivery,Pickup,Website,2024-06-14
102,142,2024-10-02,Completed,Wallet,Express,Mobile App,2024-10-03
103,120,2024-08-27,Completed,Card,Pickup,Mobile App,2024-08-29
104,158,2024-01-16,Completed,Cash on Delivery,Express,Mobile App,2024-01-20
105,242,2024-06-17,Completed,Wallet,Pickup,Website,2024-06-18
106,68,2024-02-07,Completed,Bank Transfer,Standard,Mobile App,2024-02-11
107,146,2024-03-14,Completed,Card,Express,Mobile App,2024-03-16
108,190,2024-07-28,Returned,Bank Transfer,Express,Website,2024-07-31
109,37,2024-01-03,Completed,Card,Standard,Website,2024-01-05
110,153,2024-03-08,Completed,Wallet,Pickup,Mobile App,2024-03-10
111,176,2024-05-02,Cancelled,Cash on Delivery,Standard,Website,2024-05-04
112,193,2024-09-05,Completed,Cash on Delivery,Standard,Mobile App,2024-09-10
113,181,2024-10-26,Completed,Cash on Delivery,Pickup,Website,2024-10-30
114,238,2024-05-27,Completed,Card,Standard,Website,2024-05-31
115,207,2024-06-08,Completed,Wallet,Express,Mobile App,2024-06-14
116,73,2024-10-06,Completed,Bank Transfer,Express,Mobile App,2024-10-10
117,143,2024-07-20,Completed,Wallet,Express,Mobile App,2024-07-26
118,49,2024-01-28,Completed,Bank Transfer,Standard,Website,2024-02-02
119,121,2024-09-22,Completed,Card,Express,Mobile App,2024-09-25
120,88,2024-06-18,Completed,Card,Express,Mobile App,2024-06-24
121,196,2024-05-06,Completed,Bank Transfer,Express,Mobile App,2024-05-08
122,140,2024-08-14,Completed,Bank Transfer,Express,Mobile App,2024-08-17
123,187,2024-07-09,Completed,Bank Transfer,Express,Mobile App,2024-07-14
124,250,2024-06-05,Completed,Wallet,Express,Website,2024-06-09
125,37,2024-02-24,Returned,Bank Transfer,Standard,Mobile App,2024-03-01
126,61,2024-07-31,Completed,Card,Express,Mobile App,2024-08-02
127,229,2024-02-23,Completed,Card,Express,Website,2024-02-24
128,171,2024-05-05,Completed,Cash on Delivery,Pickup,Mobile App,2024-05-06
129,124,2024-08-31,Completed,Bank Transfer,Standard,Mobile App,2024-09-03
130,198,2024-11-18,Cancelled,Wallet,Standard,Mobile App,2024-11-22
131,39,2024-01-12,Returned,Wallet,Standard,Mobile App,2024-01-13
132,184,2024-09-27,Completed,Wallet,Standard,Mobile App,2024-09-30
133,63,2024-10-18,Completed,Cash on Delivery,Express,Website,2024-10-23
134,46,2024-07-04,Completed,Card,Express,Website,2024-07-07
135,88,2024-02-26,Cancelled,Wallet,Pickup,Website,2024-02-29
136,11,2024-07-13,Completed,Card,Pickup,Mobile App,2024-07-16
137,62,2024-11-07,Completed,Cash on Delivery,Standard,Website,2024-11-09
138,77,2024-11-21,Completed,Bank Transfer,Pickup,Mobile App,2024-11-24
139,226,2024-08-07,Completed,Bank Transfer,Pickup,Mobile App,2024-08-13
140,153,2024-06-13,Completed,Bank Transfer,Standard,Mobile App,2024-06-16
141,199,2024-03-14,Completed,Wallet,Standard,Website,2024-03-16
142,52,2024-11-09,Completed,Bank Transfer,Pickup,Website,2024-11-11
143,4,2024-10-21,Completed,Wallet,Express,Website,2024-10-26
144,59,2024-03-21,Completed,Cash on Delivery,Pickup,Mobile App,2024-03-25
145,72,2024-03-19,Completed,Cash on Delivery,Pickup,Website,2024-03-20
146,148,2024-08-10,Completed,Wallet,Express,Mobile App,2024-08-11
147,93,2024-12-08,Completed,Card,Express,Website,2024-12-11
148,63,2024-01-25,Completed,Bank Transfer,Standard,Website,2024-01-30
149,54,2024-07-31,Completed,Bank Transfer,Standard,Mobile App,2024-08-03
150,117,2024-06-26,Completed,Bank Transfer,Pickup,Mobile App,2024-06-27
151,243,2024-12-06,Completed,Wallet,Express,Website,2024-12-08
152,237,2024-08-24,Completed,Cash on Delivery,Standard,Website,2024-08-28
153,110,2024-01-15,Completed,Bank Transfer,Pickup,Website,2024-01-20
154,74,2024-06-07,Cancelled,Cash on Delivery,Express,Mobile App,2024-06-09
155,107,2024-01-10,Completed,Bank Transfer,Pickup,Mobile App,2024-01-14
156,226,2024-07-27,Cancelled,Bank Transfer,Standard,Website,2024-08-01
157,57,2024-11-10,Completed,Wallet,Standard,Website,2024-11-15
158,218,2024-09-28,Completed,Card,Express,Mobile App,2024-09-29
159,169,2024-01-19,Completed,Wallet,Pickup,Website,2024-01-21
160,241,2024-09-19,Completed,Bank Transfer,Express,Mobile App,2024-09-24
161,250,2024-09-19,Completed,Bank Transfer,Standard,Mobile App,2024-09-25
162,3,2024-10-09,Completed,Card,Standard,Mobile App,2024-10-14
163,120,2024-10-08,Completed,Cash on Delivery,Pickup,Mobile App,2024-10-12
164,6,2024-11-06,Completed,Cash on Delivery,Pickup,Mobile App,2024-11-07
165,5,2024-09-14,Completed,Bank Transfer,Pickup,Mobile App,2024-09-17
166,5,2024-07-18,Completed,Cash on Delivery,Express,Website,2024-07-19
167,54,2024-09-27,Completed,Bank Transfer,Pickup,Mobile App,2024-09-30
168,47,2024-03-02,Completed,Card,Pickup,Mobile App,2024-03-04
169,215,2024-03-17,Completed,Card,Standard,Website,2024-03-19
170,177,2024-09-11,Completed,Bank Transfer,Standard,Mobile App,2024-09-16
171,9,2024-07-09,Completed,Card,Pickup,Website,2024-07-15
172,99,2024-08-15,Completed,Wallet,Pickup,Mobile App,2024-08-17
173,20,2024-02-06,Returned,Wallet,Standard,Website,2024-02-11
174,122,2024-07-14,Returned,Card,Pickup,Website,2024-07-15
175,241,2024-04-25,Completed,Bank Transfer,Express,Mobile App,2024-04-27
176,61,2024-05-17,Completed,Bank Transfer,Express,Mobile App,2024-05-18
177,123,2024-01-15,Completed,Card,Express,Mobile App,2024-01-16
178,234,2024-04-15,Completed,Cash on Delivery,Pickup,Mobile App,2024-04-21
179,163,2024-12-27,Completed,Wallet,Standard,Website,2024-12-29
180,178,2024-04-11,Completed,Cash on Delivery,Pickup,Website,2024-04-12
181,82,2024-05-11,Cancelled,Bank Transfer,Pickup,Website,2024-05-17
182,62,2024-03-28,Completed,Bank Transfer,Standard,Mobile App,2024-04-03
183,145,2024-02-06,Completed,Cash on Delivery,Standard,Website,2024-02-08
184,216,2024-04-11,Completed,Card,Standard,Mobile App,2024-04-17
185,3,2024-06-13,Completed,Cash on Delivery,Express,Mobile App,2024-06-15
186,160,2024-08-22,Completed,Cash on Delivery,Pickup,Website,2024-08-24
187,227,2024-07-10,Completed,Wallet,Standard,Mobile App,2024-07-13
188,230,2024-08-29,Completed,Wallet,Pickup,Website,2024-08-30
189,13,2024-09-21,Completed,Cash on Delivery,Express,Mobile App,2024-09-25
190,120,2024-12-08,Cancelled,Cash on Delivery,Express,Website,2024-12-10
191,125,2024-04-29,Completed,Bank Transfer,Standard,Mobile App,2024-04-30
192,239,2024-04-06,Completed,Wallet,Standard,Website,2024-04-12
193,89,2024-03-04,Completed,Wallet,Pickup,Website,2024-03-09
194,73,2024-02-10,Returned,Bank Transfer,Standard,Mobile App,2024-02-12
195,68,2024-01-02,Completed,Card,Pickup,Mobile App,2024-01-08
196,142,2024-02-16,Completed,Wallet,Standard,Website,2024-02-22
197,101,2024-07-11,Cancelled,Wallet,Pickup,Mobile App,2024-07-17
198,98,2024-04-09,Cancelled,Card,Pickup,Mobile App,2024-04-15
199,11,2024-01-13,Completed,Wallet,Pickup,Mobile App,2024-01-19
200,105,2024-05-26,Cancelled,Wallet,Pickup,Website,2024-05-28
201,184,2024-01-03,Completed,Card,Express,Website,2024-01-07
202,67,2024-05-18,Completed,Card,Pickup,Mobile App,2024-05-21
203,123,2024-01-29,Completed,Cash on Delivery,Standard,Mobile App,2024-02-04
204,220,2024-12-06,Completed,Bank Transfer,Express,Website,2024-12-12
205,29,2024-09-09,Completed,Bank Transfer,Express,Mobile App,2024-09-12
206,137,2024-09-24,Completed,Card,Pickup,Website,2024-09-26
207,195,2024-02-27,Completed,Card,Express,Mobile App,2024-02-28
208,153,2024-08-04,Completed,Wallet,Pickup,Mobile App,2024-08-09
209,226,2024-11-23,Completed,Cash on Delivery,Standard,Mobile App,2024-11-28
210,76,2024-10-14,Completed,Cash on Delivery,Pickup,Website,2024-10-15
211,170,2024-05-18,Completed,Card,Express,Website,2024-05-20
212,9,2024-10-23,Completed,Wallet,Standard,Website,2024-10-28
213,207,2024-06-04,Completed,Wallet,Pickup,Website,2024-06-07
214,40,2024-04-05,Completed,Bank Transfer,Standard,Mobile App,2024-04-06
215,25,2024-11-17,Returned,Bank Transfer,Standard,Mobile App,2024-11-21
216,5,2024-02-07,Completed,Wallet,Express,Website,2024-02-09
217,139,2024-08-15,Completed,Bank Transfer,Standard,Mobile App,2024-08-16
218,187,2024-01-09,Completed,Card,Express,Mobile App,2024-01-14
219,226,2024-03-10,Completed,Wallet,Standard,Website,2024-03-12
220,216,2024-01-14,Completed,Bank Transfer,Pickup,Mobile App,2024-01-17
221,124,2024-07-29,Returned,Cash on Delivery,Standard,Mobile App,2024-07-31
222,207,2024-01-17,Completed,Wallet,Pickup,Website,2024-01-19
223,38,2024-05-23,Completed,Wallet,Pickup,Mobile App,2024-05-26
224,72,2024-03-27,Completed,Cash on Delivery,Standard,Mobile App,2024-04-02
225,133,2024-01-07,Completed,Card,Pickup,Mobile App,2024-01-10
226,176,2024-11-12,Completed,Cash on Delivery,Standard,Website,2024-11-14
227,90,2024-07-25,Completed,Wallet,Standard,Website,2024-07-28
228,146,2024-05-12,Completed,Card,Pickup,Mobile App,2024-05-18
229,198,2024-01-05,Completed,Bank Transfer,Pickup,Mobile App,2024-01-06
230,37,2024-09-21,Completed,Bank Transfer,Express,Mobile App,2024-09-24
231,60,2024-07-16,Returned,Bank Transfer,Pickup,Website,2024-07-19
232,176,2024-08-05,Completed,Wallet,Express,Website,2024-08-07
233,205,2024-07-10,Completed,Cash on Delivery,Pickup,Website,2024-07-11
234,28,2024-08-20,Completed,Card,Standard,Mobile App,2024-08-24
235,197,2024-02-04,Completed,Bank Transfer,Pickup,Mobile App,2024-02-08
236,205,2024-04-21,Cancelled,Card,Standard,Mobile App,2024-04-26
237,81,2024-08-16,Completed,Wallet,Standard,Mobile App,2024-08-19
238,114,2024-11-15,Completed,Bank Transfer,Standard,Mobile App,2024-11-18
239,40,2024-12-03,Returned,Wallet,Express,Website,2024-12-04
240,45,2024-12-19,Completed,Cash on Delivery,Pickup,Mobile App,2024-12-25
241,224,2024-06-02,Returned,Wallet,Standard,Mobile App,2024-06-06
242,62,2024-09-10,Completed,Wallet,Standard,Mobile App,2024-09-15
243,93,2024-06-12,Completed,Cash on Delivery,Express,Website,2024-06-13
244,115,2024-11-26,Completed,Card,Pickup,Mobile App,2024-11-29
245,186,2024-02-26,Completed,Cash on Delivery,Pickup,Website,2024-03-01
246,67,2024-05-08,Returned,Cash on Delivery,Express,Website,2024-05-13
247,56,2024-12-18,Completed,Wallet,Express,Website,2024-12-20
248,40,2024-07-29,Completed,Card,Pickup,Website,2024-08-02
249,98,2024-07-07,Completed,Bank Transfer,Express,Website,2024-07-12
250,40,2024-06-15,Completed,Cash on Delivery,Pickup,Mobile App,2024-06-16
251,91,2024-01-12,Completed,Card,Pickup,Mobile App,2024-01-14
252,205,2024-12-01,Returned,Cash on Delivery,Standard,Website,2024-12-06
253,237,2024-07-30,Completed,Cash on Delivery,Standard,Website,2024-08-04
254,33,2024-04-16,Completed,Cash on Delivery,Pickup,Website,2024-04-19
255,6,2024-01-21,Completed,Cash on Delivery,Pickup,Mobile App,2024-01-27
256,216,2024-08-05,Completed,Wallet,Pickup,Mobile App,2024-08-09
257,147,2024-01-03,Completed,Card,Pickup,Website,2024-01-06
258,80,2024-09-12,Completed,Card,Pickup,Mobile App,2024-09-14
259,168,2024-06-01,Cancelled,Card,Pickup,Mobile App,2024-06-07
260,92,2024-10-29,Completed,Cash on Delivery,Express,Website,2024-11-03
261,97,2024-01-16,Completed,Wallet,Pickup,Website,2024-01-19
262,59,2024-09-20,Completed,Cash on Delivery,Express,Mobile App,2024-09-26
263,59,2024-07-14,Cancelled,Cash on Delivery,Express,Mobile App,2024-07-18
264,48,2024-06-06,Completed,Card,Pickup,Mobile App,2024-06-08
265,169,2024-01-30,Completed,Cash on Delivery,Pickup,Website,2024-01-31
266,13,2024-11-29,Completed,Bank Transfer,Express,Website,2024-12-02
267,107,2024-06-19,Completed,Cash on Delivery,Express,Website,2024-06-21
268,45,2024-03-18,Completed,Bank Transfer,Pickup,Mobile App,2024-03-19
269,89,2024-09-01,Completed,Cash on Delivery,Pickup,Mobile App,2024-09-04
270,181,2024-06-30,Completed,Wallet,Express,Website,2024-07-02
271,170,2024-05-20,Completed,Wallet,Express,Mobile App,2024-05-22
272,100,2024-05-07,Returned,Card,Express,Website,2024-05-13
273,191,2024-02-06,Cancelled,Cash on Delivery,Standard,Mobile App,2024-02-09
274,155,2024-08-08,Completed,Bank Transfer,Express,Website,2024-08-10
275,166,2024-08-10,Completed,Bank Transfer,Standard,Mobile App,2024-08-15
276,188,2024-06-21,Completed,Cash on Delivery,Pickup,Mobile App,2024-06-24
277,7,2024-09-25,Completed,Bank Transfer,Pickup,Website,2024-09-27
278,133,2024-11-09,Completed,Wallet,Express,Website,2024-11-15
279,235,2024-09-07,Completed,Bank Transfer,Pickup,Website,2024-09-08
280,45,2024-01-08,Completed,Card,Pickup,Website,2024-01-09
281,58,2024-11-18,Cancelled,Wallet,Pickup,Website,2024-11-23
282,249,2024-10-18,Completed,Wallet,Pickup,Mobile App,2024-10-21
283,243,2024-07-15,Completed,Wallet,Standard,Website,2024-07-21
284,31,2024-08-18,Completed,Cash on Delivery,Standard,Website,2024-08-20
285,23,2024-09-26,Completed,Cash on Delivery,Express,Website,2024-09-28
286,170,2024-10-08,Completed,Wallet,Express,Website,2024-10-09
287,138,2024-08-01,Completed,Cash on Delivery,Express,Website,2024-08-07
288,160,2024-06-03,Completed,Bank Transfer,Pickup,Mobile App,2024-06-08
289,107,2024-03-31,Completed,Cash on Delivery,Pickup,Website,2024-04-01
290,181,2024-06-04,Completed,Cash on Delivery,Standard,Website,2024-06-05
291,158,2024-05-08,Completed,Wallet,Standard,Website,2024-05-13
292,39,2024-10-31,Cancelled,Card,Express,Mobile App,2024-11-03
293,159,2024-11-22,Cancelled,Card,Standard,Mobile App,2024-11-24
294,82,2024-08-22,Cancelled,Card,Standard,Website,2024-08-25
295,100,2024-11-28,Completed,Bank Transfer,Standard,Website,2024-12-04
296,2,2024-04-10,Completed,Cash on Delivery,Standard,Mobile App,2024-04-14
297,206,2024-01-18,Returned,Card,Standard,Mobile App,2024-01-22
298,77,2024-08-02,Completed,Wallet,Express,Mobile App,2024-08-06
299,221,2024-04-28,Completed,Card,Express,Website,2024-05-03
300,12,2024-08-01,Completed,Card,Standard,Website,2024-08-02
301,39,2024-12-04,Completed,Cash on Delivery,Express,Mobile App,2024-12-07
302,194,2024-01-01,Returned,Cash on Delivery,Pickup,Website,2024-01-03
303,224,2024-07-05,Completed,Cash on Delivery,Standard,Mobile App,2024-07-09
304,13,2024-08-18,Completed,Bank Transfer,Pickup,Mobile App,2024-08-21
305,46,2024-06-23,Completed,Bank Transfer,Express,Mobile App,2024-06-27
306,155,2024-07-27,Completed,Card,Express,Website,2024-07-31
307,113,2024-05-05,Cancelled,Cash on Delivery,Pickup,Mobile App,2024-05-07
308,233,2024-03-14,Completed,Card,Express,Mobile App,2024-03-20
309,17,2024-04-10,Completed,Wallet,Standard,Website,2024-04-16
310,104,2024-05-16,Returned,Wallet,Pickup,Mobile App,2024-05-22
311,223,2024-11-08,Completed,Cash on Delivery,Standard,Website,2024-11-13
312,98,2024-02-04,Completed,Cash on Delivery,Pickup,Mobile App,2024-02-05
313,188,2024-02-03,Completed,Wallet,Express,Website,2024-02-08
314,192,2024-02-28,Completed,Cash on Delivery,Pickup,Mobile App,2024-03-02
315,88,2024-07-18,Completed,Bank Transfer,Pickup,Mobile App,2024-07-23
316,109,2024-01-05,Completed,Bank Transfer,Standard,Mobile App,2024-01-08
317,163,2024-04-03,Completed,Cash on Delivery,Express,Mobile App,2024-04-06
318,240,2024-05-04,Completed,Wallet,Standard,Mobile App,2024-05-05
319,70,2024-11-05,Returned,Card,Express,Website,2024-11-07
320,211,2024-09-21,Completed,Cash on Delivery,Standard,Website,2024-09-22
321,158,2024-06-07,Completed,Cash on Delivery,Pickup,Mobile App,2024-06-13
322,199,2024-07-12,Completed,Card,Standard,Mobile App,2024-07-18
323,74,2024-05-12,Completed,Cash on Delivery,Express,Mobile App,2024-05-17
324,233,2024-05-10,Completed,Card,Express,Website,2024-05-13
325,224,2024-01-03,Cancelled,Wallet,Pickup,Website,2024-01-07
326,226,2024-11-07,Returned,Bank Transfer,Express,Mobile App,2024-11-11
327,63,2024-01-01,Completed,Wallet,Standard,Website,2024-01-04
328,156,2024-06-05,Returned,Bank Transfer,Pickup,Mobile App,2024-06-06
329,60,2024-06-20,Completed,Card,Express,Mobile App,2024-06-22
330,79,2024-02-21,Completed,Bank Transfer,Express,Mobile App,2024-02-22
331,222,2024-02-19,Completed,Wallet,Standard,Website,2024-02-22
332,37,2024-05-04,Cancelled,Bank Transfer,Standard,Mobile App,2024-05-07
333,221,2024-07-15,Completed,Card,Pickup,Mobile App,2024-07-17
334,22,2024-05-24,Completed,Bank Transfer,Express,Mobile App,2024-05-29
335,196,2024-07-10,Completed,Cash on Delivery,Standard,Website,2024-07-15
336,148,2024-05-12,Completed,Wallet,Pickup,Website,2024-05-14
337,96,2024-01-10,Completed,Cash on Delivery,Express,Website,2024-01-15
338,228,2024-02-20,Cancelled,Card,Express,Mobile App,2024-02-24
339,242,2024-03-05,Cancelled,Bank Transfer,Pickup,Website,2024-03-10
340,68,2024-08-28,Completed,Cash on Delivery,Pickup,Mobile App,2024-09-02
341,219,2024-05-18,Returned,Cash on Delivery,Standard,Website,2024-05-23
342,192,2024-04-28,Completed,Bank Transfer,Express,Mobile App,2024-05-02
343,17,2024-04-10,Returned,Bank Transfer,Express,Website,2024-04-15
344,12,2024-04-05,Completed,Wallet,Express,Mobile App,2024-04-11
345,150,2024-01-20,Completed,Cash on Delivery,Pickup,Website,2024-01-24
346,145,2024-08-06,Completed,Cash on Delivery,Standard,Website,2024-08-08
347,138,2024-02-25,Cancelled,Card,Express,Website,2024-02-26
348,118,2024-09-01,Completed,Wallet,Pickup,Mobile App,2024-09-03
349,193,2024-12-28,Completed,Card,Express,Website,2024-12-29
350,22,2024-01-07,Completed,Cash on Delivery,Standard,Website,2024-01-09
351,218,2024-08-10,Completed,Card,Express,Website,2024-08-16
352,120,2024-08-24,Completed,Cash on Delivery,Standard,Website,2024-08-25
353,210,2024-09-26,Completed,Cash on Delivery,Standard,Mobile App,2024-09-27
354,50,2024-09-20,Cancelled,Card,Express,Website,2024-09-23
355,14,2024-07-22,Completed,Card,Express,Mobile App,2024-07-23
356,192,2024-05-24,Completed,Bank Transfer,Standard,Mobile App,2024-05-25
357,175,2024-08-12,Completed,Bank Transfer,Pickup,Mobile App,2024-08-15
358,29,2024-05-28,Cancelled,Bank Transfer,Standard,Mobile App,2024-06-02
359,204,2024-07-17,Cancelled,Cash on Delivery,Express,Website,2024-07-22
360,164,2024-09-12,Completed,Card,Express,Mobile App,2024-09-15
361,227,2024-03-18,Completed,Wallet,Pickup,Mobile App,2024-03-22
362,180,2024-09-23,Completed,Cash on Delivery,Standard,Mobile App,2024-09-24
363,125,2024-10-26,Completed,Wallet,Standard,Mobile App,2024-10-27
364,204,2024-12-27,Cancelled,Card,Standard,Website,2024-12-30
365,7,2024-07-31,Completed,Cash on Delivery,Express,Website,2024-08-03
366,29,2024-11-10,Completed,Wallet,Standard,Mobile App,2024-11-14
367,139,2024-03-02,Completed,Wallet,Pickup,Mobile App,2024-03-08
368,33,2024-08-14,Cancelled,Bank Transfer,Express,Mobile App,2024-08-19
369,134,2024-09-30,Completed,Bank Transfer,Express,Website,2024-10-02
370,111,2024-01-14,Completed,Bank Transfer,Standard,Website,2024-01-20
371,79,2024-10-01,Completed,Cash on Delivery,Pickup,Website,2024-10-06
372,160,2024-02-27,Cancelled,Card,Express,Website,2024-02-28
373,179,2024-06-14,Completed,Card,Express,Website,2024-06-20
